--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
MOT: Init
MOT: Enable driver.
MOT: Align sensor.
MOT: sensor_direction==CW
MOT: PP check: OK!
MOT: Zero elec. angle: 3.96
MOT: Align current sense.
CS: Inv B
MOT: Success: 3
MOT: Ready.
MOT: Monitor enabled!
ESP32-DRV: Configuring 3PWM in group: 1 on timer: 0
ESP32-DRV: Configuring 2 operators.
ESP32-DRV: Configuring 3 comparators.
ESP32-DRV: Configuring 3 generators.
ESP32-DRV: Configuring center-aligned pwm.
ESP32-DRV: Enabling timer: 0
ESP32-DRV: MCPWM configured!
MOT: Init
MOT: Enable driver.
MOT: Align sensor.
MOT: sensor_direction==CW
MOT: PP check: OK!
MOT: Zero elec. angle: 0.72
MOT: Align current sense.
CS: Inv B
MOT: Success: 3
MOT: Ready.
0	0.000	0.061	0.012	0.076	2.214	0.006	-0.111	0.082	0.192	3.682	0.047
16724	0.000	-0.029	0.012	0.007	2.215	-0.603	0.026	-0.006	0.027	3.622	-2.713
16744	0.000	0.015	0.006	0.045	2.209	0.307	0.013	-0.034	0.089	3.540	-3.992
16764	0.000	0.018	-0.027	0.194	2.200	-0.302	0.006	-0.016	0.014	3.467	-2.115
16784	0.000	-0.011	0.002	0.005	2.201	0.000	0.005	-0.027	0.045	3.494	1.811
16804	0.000	-0.011	-0.003	0.017	2.200	0.000	0.002	-0.019	0.016	3.490	-1.811
16824	0.000	0.013	0.015	0.035	2.203	0.302	0.029	-0.009	0.043	3.501	1.207
16844	0.000	-0.020	-0.003	0.015	2.186	-1.512	0.017	-0.054	0.044	3.494	-0.302
16864	0.000	-0.001	-0.017	0.010	2.148	-1.534	0.033	-0.008	0.032	3.497	-0.307
16884	0.000	0.008	0.025	0.021	2.132	-0.921	-0.005	-0.015	0.022	3.497	-0.614
16904	0.000	0.020	-0.017	0.008	2.125	0.307	-0.070	-0.046	0.028	3.484	0.307
16924	0.000	-0.015	-0.011	0.020	2.125	-0.307	0.028	-0.027	0.032	3.517	0.614
