--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
MOT: Init
MOT: Enable driver.
MOT: Align sensor.
MOT: sensor_direction==CW
MOT: PP check: OK!
MOT: Zero elec. angle: 4.24
MOT: Align current sense.
CS: Inv B
MOT: Success: 3
MOT: Ready.
MOT: Monitor enabled!
ESP32-DRV: Configuring 3PWM in group: 1 on timer: 0
ESP32-DRV: Configuring 2 operators.
ESP32-DRV: Configuring 3 comparators.
ESP32-DRV: Configuring 3 generators.
ESP32-DRV: Configuring center-aligned pwm.
ESP32-DRV: Enabling timer: 0
ESP32-DRV: MCPWM configured!
MOT: Init
MOT: Enable driver.
MOT: Align sensor.
MOT: sensor_direction==CW
MOT: PP check: OK!
MOT: Zero elec. angle: 0.74
MOT: Align current sense.
CS: Inv B
MOT: Success: 3
MOT: Ready.
0	0.001	-0.031	-0.015	0.039	0.568	0.020	0.018	0.010	0.032	0.265	0.052
16724	0.002	-0.009	-0.024	0.059	0.540	-1.004	0.072	-0.019	0.016	0.342	5.032
16744	0.003	-0.001	-0.022	0.003	0.528	-1.138	-0.041	0.036	0.051	0.443	4.826
16764	0.004	0.014	-0.015	0.017	0.509	-1.136	-0.002	0.008	0.020	0.442	-1.419
16784	0.005	-0.081	0.039	0.024	0.505	-1.137	-0.007	-0.007	0.021	0.436	-0.568
16804	0.006	0.015	-0.007	0.025	0.502	-0.661	-0.036	0.051	0.072	0.439	0.000
16824	0.007	0.057	0.197	0.024	0.502	-0.331	0.002	0.001	0.007	0.449	-0.993
16844	0.008	0.007	0.027	0.042	0.503	0.331	-0.034	0.011	0.051	0.416	-0.663
16864	0.009	0.005	-0.023	0.033	0.502	0.000	0.054	-0.069	0.025	0.434	0.853
16884	0.010	0.007	-0.024	0.010	0.502	0.000	0.035	-0.119	0.052	0.433	0.284
16904	0.011	-0.039	0.050	0.033	0.502	-0.331	-0.065	0.033	0.109	0.433	0.000
16924	0.012	-0.001	-0.001	0.055	0.506	0.663	-0.018	0.004	0.018	0.437	-0.995
16944	0.013	-0.001	-0.017	0.013	0.489	-1.651	-0.027	0.048	0.046	0.436	0.000
16964	0.014	0.020	-0.018	0.024	0.500	0.663	-0.000	-0.005	0.007	0.437	0.332
16984	0.015	-0.027	-0.081	0.020	0.500	0.332	-0.028	-0.013	0.032	0.437	0.000
17004	0.016	0.002	-0.005	0.021	0.499	0.331	-0.015	0.040	0.044	0.445	-0.662
