--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
MOT: Init
MOT: Enable driver.
MOT: Align sensor.
MOT: sensor_direction==CW
MOT: PP check: OK!
MOT: Zero elec. angle: 3.95
MOT: Align current sense.
CS: Inv B
MOT: Success: 3
MOT: Ready.
MOT: Monitor enabled!
ESP32-DRV: Configuring 3PWM in group: 1 on timer: 0
ESP32-DRV: Configuring 2 operators.
ESP32-DRV: Configuring 3 comparators.
ESP32-DRV: Configuring 3 generators.
ESP32-DRV: Configuring center-aligned pwm.
ESP32-DRV: Enabling timer: 0
ESP32-DRV: MCPWM configured!
MOT: Init
MOT: Enable driver.
MOT: Align sensor.
MOT: sensor_direction==CW
MOT: PP check: OK!
MOT: Zero elec. angle: 0.65
MOT: Align current sense.
CS: Inv B
MOT: Success: 3
MOT: Ready.
0	1.000	0.057	0.028	0.061	2.212	0.007	-0.173	0.036	0.183	2.505	0.043
16723	1.000	0.759	0.567	0.928	2.692	32.051	1.021	0.299	1.063	3.004	34.510
16743	1.000	0.549	0.605	0.855	3.346	36.976	1.088	-0.050	1.110	3.689	37.642
16763	1.000	0.736	0.635	0.939	4.071	37.516	0.999	-0.061	0.978	4.432	37.784
16783	1.000	0.928	0.589	1.139	4.665	28.095	-0.038	-1.010	1.026	5.177	38.712
16803	1.000	0.946	0.431	0.993	5.059	19.627	0.363	1.065	1.155	5.881	36.976
16823	1.000	0.867	0.396	0.965	5.424	18.581	-0.966	-0.323	1.015	0.334	37.996
16843	1.000	0.932	0.454	0.996	5.814	22.476	1.228	-0.125	1.297	1.066	37.587
16863	1.000	0.777	0.622	0.958	0.075	32.707	-0.567	-0.882	1.048	1.753	36.601
16883	1.000	0.373	0.199	0.448	0.833	44.006	0.287	-1.052	1.102	2.425	34.596
16903	1.000	0.608	0.593	0.884	1.698	41.587	0.314	1.091	1.150	3.057	33.805
