--- Terminal on /dev/ttyUSB0 | 115200 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
MOT: Init
MOT: Enable driver.
MOT: Align sensor.
MOT: sensor_direction==CW
MOT: PP check: OK!
MOT: Zero elec. angle: 4.08
MOT: Align current sense.
CS: Inv B
MOT: Success: 3
MOT: Ready.
0	1.000	-0.053	-0.040	0.084	3.944	0.028
8378	2.000	0.009	-0.003	0.050	3.950	3.407
8398	3.000	0.039	-0.020	0.082	3.965	0.866
8418	4.000	0.065	-0.009	0.055	4.019	2.566
8438	5.000	0.076	0.041	0.086	4.116	5.271
8458	6.000	0.049	0.068	0.058	4.199	3.179
8478	7.000	0.044	0.079	0.112	4.297	5.336
8498	8.000	0.067	0.073	0.058	4.452	7.672
8518	9.000	0.100	0.090	0.146	4.588	7.637
8538	10.000	0.120	0.066	0.175	4.731	4.772
8558	11.000	0.182	0.171	0.232	4.869	8.225
8578	12.000	0.261	0.131	0.346	5.028	7.684
8598	13.000	0.279	0.168	0.371	5.216	9.148
8618	14.000	0.418	0.257	0.482	5.395	9.632
8638	15.000	0.466	0.257	0.518	5.625	12.185
8658	16.000	0.457	0.345	0.513	5.923	15.156
8678	17.000	0.367	0.215	0.433	0.029	21.207
8698	18.000	0.239	0.130	0.233	0.528	26.937
8718	19.000	0.118	0.027	0.140	1.045	25.218
8738	20.000	0.042	0.066	0.069	1.483	18.535
8758	21.000	-0.002	0.104	0.129	1.884	17.549
8778	22.000	0.109	0.131	0.157	2.207	18.178
8798	23.000	0.070	0.247	0.246	2.548	16.609
8818	24.000	0.230	0.233	0.428	2.948	21.199
8838	25.000	0.248	0.281	0.451	3.410	25.898
8858	26.000	0.217	0.330	0.335	3.922	26.768
8878	27.000	0.256	0.374	0.463	4.392	21.771
8898	28.000	0.498	0.350	0.611	4.771	17.381
8918	29.000	0.899	0.353	0.932	5.104	16.760
8938	30.000	0.899	0.493	1.013	5.446	17.725
8958	31.000	0.916	0.490	1.064	5.835	22.338
8978	32.000	0.683	0.641	0.929	0.114	32.272
8998	33.000	0.183	0.330	0.360	0.914	44.900
9018	34.000	0.495	0.533	0.703	1.766	39.844
9038	35.000	0.619	0.645	0.919	2.384	29.936
9058	36.000	0.727	0.638	0.924	2.987	31.258
9078	37.000	0.607	0.687	0.929	3.682	36.432
9098	38.000	0.807	0.685	1.066	4.363	32.148
9118	39.000	1.020	0.656	1.160	4.860	22.286
9138	40.000	1.043	0.454	1.137	5.229	18.022
9158	41.000	1.016	0.433	1.027	5.562	17.848
9178	42.000	0.919	0.620	1.122	5.986	23.352
9198	43.000	0.514	0.415	0.677	0.345	37.979
9218	44.000	0.274	0.456	0.654	1.218	45.117
9238	45.000	0.585	0.855	0.936	2.011	36.795
9258	46.000	0.807	0.498	0.931	2.631	30.888
9278	47.000	0.587	0.591	0.818	3.280	34.270
9298	48.000	0.645	0.732	0.927	3.998	36.748
9318	49.000	0.876	0.551	1.018	4.610	27.005
9338	50.000	0.958	0.437	0.974	5.038	19.194
9358	50.000	1.002	0.423	1.085	5.374	15.860
9378	50.000	1.014	0.503	1.087	5.739	20.036
9398	50.000	0.826	0.375	0.915	6.254	29.877
9418	50.000	0.448	0.244	0.511	0.744	42.704
9438	50.000	0.476	0.641	0.837	1.608	41.467
9458	50.000	0.693	0.774	0.931	2.309	33.006
9478	50.000	0.728	0.666	1.001	2.916	31.518
9498	50.000	0.616	0.745	0.946	3.619	36.886
9518	50.000	0.634	0.752	0.931	4.303	33.068
9538	50.000	1.063	0.471	1.201	4.815	23.098
9558	50.000	1.042	0.400	1.096	5.196	18.051
9578	50.000	0.964	0.457	1.067	5.538	17.971
9598	50.000	0.919	0.546	1.058	5.952	22.782
9618	50.000	0.580	0.768	0.931	0.296	36.904
9638	50.000	0.462	0.521	0.715	1.146	44.839
9658	50.000	0.552	0.589	0.817	1.945	38.047
9678	50.000	0.703	0.724	1.023	2.585	30.270
9698	50.000	0.748	0.508	0.921	3.214	33.128
9718	50.000	0.479	0.664	0.806	3.933	35.960
9738	50.000	0.946	0.908	1.227	4.559	28.716
9758	50.000	0.867	0.448	0.956	4.998	20.704
9778	50.000	1.001	0.383	1.100	5.334	16.484
9798	50.000	1.091	0.361	0.915	5.688	19.238
9818	50.000	0.839	0.660	1.071	6.185	28.146
9838	50.000	0.353	0.267	0.438	0.632	42.893
9858	50.000	0.521	0.577	0.818	1.516	42.275
9878	50.000	0.667	0.548	0.860	2.229	33.512
9898	50.000	0.863	0.667	1.084	2.855	30.697
9918	50.000	0.692	0.777	1.039	3.527	35.512
9938	50.000	0.606	0.699	0.903	4.220	34.720
9958	50.000	0.967	0.717	1.197	4.771	24.275
9978	50.000	1.046	0.420	1.099	5.153	17.815
9998	50.000	1.053	0.442	1.122	5.489	17.752
10018	50.000	0.932	0.485	1.080	5.886	22.522
10038	50.000	0.641	0.749	0.966	0.193	34.677
10058	50.000	0.235	0.434	0.627	1.026	45.155
10078	50.000	0.545	0.586	0.815	1.859	38.890
10098	50.000	0.728	0.653	0.929	2.513	31.615
10118	50.000	0.730	0.769	1.026	3.135	33.313
10138	50.000	0.529	0.524	0.771	3.855	35.898
10158	50.000	0.765	0.574	0.930	4.499	29.963
10178	50.000	1.009	0.596	1.114	4.956	21.209
10198	50.000	1.035	0.400	1.135	5.300	16.854
10218	50.000	0.989	0.390	1.056	5.654	18.606
10238	50.000	0.771	0.600	0.919	6.122	27.319
10258	50.000	0.532	0.428	0.707	0.560	41.858
10278	50.000	0.485	0.682	0.872	1.428	43.450
10298	50.000	0.647	0.685	0.936	2.158	34.549
10318	50.000	0.693	0.596	0.879	2.792	31.318
10338	50.000	0.588	0.622	0.816	3.456	35.857
10358	50.000	0.728	0.530	0.907	4.156	35.213
10378	50.000	1.056	0.445	1.161	4.723	25.420
10398	50.000	1.028	0.451	1.128	5.130	17.830
10418	50.000	1.002	0.443	1.145	5.463	17.265
10438	50.000	0.913	0.505	1.035	5.855	22.346
10458	50.000	0.628	0.504	0.774	0.137	34.032
10478	50.000	0.347	0.779	0.749	0.971	45.610
10498	50.000	0.637	0.708	0.931	1.801	39.809
10518	50.000	0.851	0.680	1.112	2.459	32.122
10538	50.000	0.680	0.580	0.906	3.077	32.281
10558	50.000	0.663	0.572	0.899	3.792	36.509
10578	50.000	0.781	0.604	0.973	4.447	30.938
10598	50.000	1.092	0.493	1.302	4.923	21.147
10618	50.000	1.023	0.411	1.091	5.274	17.506
10638	50.000	0.969	0.394	1.082	5.624	17.905
10658	50.000	0.925	0.608	1.127	6.076	26.165
10678	50.000	0.493	0.694	0.835	0.480	39.491
10698	50.000	0.358	0.786	0.863	1.347	43.783
10718	50.000	0.641	0.856	1.042	2.108	34.763
10738	50.000	0.717	0.695	0.968	2.720	30.474
10758	50.000	0.546	0.471	0.711	3.378	35.748
10778	50.000	0.698	0.867	1.022	4.110	35.163
10798	50.000	0.924	0.696	1.196	4.680	25.786
10818	50.000	1.010	0.381	1.070	5.077	18.152
10838	50.000	1.033	0.451	1.064	5.413	16.585
10858	50.000	1.022	0.509	1.193	5.802	21.796
10878	50.000	0.739	0.465	0.882	0.051	31.215
10898	50.000	0.385	0.752	0.806	0.868	45.244
