0.10	0.09297	0.06987	0.08194	0.04590
0.10	0.02928	0.08136	0.04690	0.06950
0.10	-0.01681	0.03690	0.00430	0.04770
0.10	0.06665	0.06402	0.04568	0.05853
0.10	0.02423	0.04089	0.03137	0.04677
0.10	-0.00413	0.00782	0.00764	0.02073
0.10	0.08117	-0.00944	0.05669	0.00061
0.10	0.11272	0.06825	0.09400	0.04565
0.10	0.04275	0.08031	0.05994	0.06869
0.10	-0.01233	0.05041	0.01179	0.05651
0.10	0.21486	0.16515	0.14703	0.12886
0.10	0.03645	0.05457	0.07308	0.07918
0.10	0.00164	0.02007	0.02552	0.03983
0.10	-0.00304	-0.01579	0.00642	0.00263
0.10	0.08897	0.04392	0.06122	0.03004
0.10	0.08468	0.07361	0.07686	0.05909
0.10	0.00275	0.05182	0.02734	0.05423
0.10	-0.01798	0.02008	-0.00287	0.03146
0.10	0.05717	0.08372	0.03712	0.06627
0.10	-0.00499	0.04926	0.00896	0.05489
0.10	0.00026	-0.03061	0.00317	-0.00207
0.10	-0.00090	0.02164	0.00045	0.01375
0.10	0.08729	0.07942	0.05812	0.05736
0.10	0.04119	0.06172	0.04685	0.06026
0.10	-0.01605	0.06013	0.00480	0.06017
0.10	0.22616	0.28386	0.15190	0.20882
0.10	0.01139	-0.13641	0.05816	-0.02151
0.10	-0.01120	-0.00166	0.01186	-0.00826
0.10	0.05019	-0.00891	0.03743	-0.00869
0.10	0.12076	0.03374	0.09291	0.01956
0.10	0.08179	0.07680	0.08551	0.05768
0.10	-0.02110	0.08344	0.01421	0.07491
0.10	0.01755	0.02382	0.01644	0.04082
0.10	0.04619	0.07574	0.03618	0.06399
0.10	-0.01761	0.05183	0.00013	0.05585
0.10	0.00722	-0.05225	0.00483	-0.01581
0.10	0.08721	0.02307	0.05984	0.01015
0.10	0.10554	0.08014	0.09032	0.05684
0.10	0.04069	0.06835	0.05724	0.06451
0.10	0.00378	0.04172	0.02164	0.04933
0.10	0.03317	0.05199	0.02935	0.05111
0.10	0.05678	0.22573	0.04766	0.16766
0.10	-0.00352	0.02007	0.01367	0.06967
0.10	0.04187	-0.02108	0.03259	0.00880
0.10	0.10688	0.06024	0.08203	0.04303
0.10	0.10273	-0.10897	0.09580	-0.05802
0.10	-0.01196	0.04631	0.02404	0.01145
0.10	0.02111	0.05145	0.02209	0.03812
0.10	0.03944	0.05616	0.03367	0.05016
0.10	-0.00045	0.05522	0.01089	0.05354
0.10	0.02454	-0.02992	0.02000	-0.00215
0.10	0.08880	0.05601	0.06581	0.03657
0.10	0.05736	0.05920	0.06020	0.05161
0.10	0.00235	0.02095	0.02143	0.03106
0.10	0.00588	0.03547	0.01105	0.03400
0.10	0.03801	0.04979	0.02891	0.04446
0.10	0.01326	-0.00969	0.01846	0.00831
0.10	0.05741	-0.04666	0.04448	-0.02842
0.10	0.07528	0.00837	0.06496	-0.00395
0.10	0.07982	0.06398	0.07490	0.04150
0.10	0.03373	0.03431	0.04751	0.03671
0.10	0.01718	0.03330	0.02728	0.03443
0.10	0.06060	0.07774	0.04945	0.06325
0.10	0.00252	0.03974	0.01808	0.04753
0.10	0.01060	-0.03579	0.01310	-0.00797
0.10	0.07842	-0.01513	0.05666	-0.01274
0.10	0.10900	0.05263	0.09142	0.03067
0.10	0.06168	0.06086	0.07151	0.05089
0.10	-0.00678	0.03135	0.01938	0.03788
0.10	0.03561	0.04271	0.03021	0.04111
0.10	0.03572	0.02553	0.03389	0.03072
0.10	0.04171	0.06437	0.03910	0.05314
0.10	0.03145	-0.01487	0.03399	0.00771
0.10	0.10908	0.04504	0.08391	0.03252
0.10	0.07494	0.07923	0.07794	0.06363
0.10	-0.00156	0.03411	0.02478	0.04389
0.10	0.00517	0.03721	0.01172	0.03944
0.10	0.07868	0.12838	0.05631	0.09866
0.10	0.00602	0.01764	0.02290	0.04484
0.10	-0.01958	-0.00393	-0.00555	0.01217
0.10	0.09230	-0.00108	0.05979	0.00332
0.10	0.06393	0.06368	0.06254	0.04341
0.10	0.02999	0.05886	0.04084	0.05371
0.10	-0.00811	0.03267	0.00816	0.03967
0.10	0.02701	0.03329	0.02068	0.03543
0.10	0.01165	0.02741	0.01463	0.03005
0.10	-0.00545	0.01446	0.00127	0.01969
0.10	0.05046	-0.01630	0.03403	-0.00428
0.10	0.09390	0.07108	0.07388	0.04588
0.10	0.03489	0.04672	0.04777	0.04644
0.10	0.01253	0.03580	0.02435	0.03937
0.10	0.04248	0.05391	0.03646	0.04908
