7911	0.00	-0.00026	-0.00011	0.00036	-0.00014	-0.00026	-0.00028	0.00030	0.360
7921	0.00	-0.00016	-0.00004	0.00021	-0.00006	-0.00016	-0.00014	0.00030	0.360
7931	0.00	-0.00019	-0.00006	0.00026	-0.00008	-0.00019	-0.00018	0.00028	0.360
7941	0.00	-0.00025	-0.00003	0.00030	-0.00005	-0.00025	-0.00017	0.00006	0.360
7951	0.00	0.00022	-0.00010	-0.00021	-0.00008	0.00022	0.00002	0.00018	0.360
7961	0.00	-0.00009	-0.00023	0.00022	-0.00025	-0.00009	-0.00032	0.00044	0.360
7971	0.00	-0.00016	-0.00023	0.00030	-0.00025	-0.00016	-0.00036	0.00038	0.360
7981	0.00	-0.00023	-0.00030	0.00041	-0.00033	-0.00023	-0.00047	0.00042	0.360
7991	0.00	-0.00021	-0.00030	0.00039	-0.00032	-0.00021	-0.00046	0.00044	0.360
8001	0.00	-0.00025	-0.00025	0.00041	-0.00027	-0.00025	-0.00043	0.00037	0.360
8011	0.00	-0.00011	-0.00018	0.00022	-0.00019	-0.00011	-0.00027	0.00046	0.360
8021	0.00	-0.00018	-0.00033	0.00037	-0.00036	-0.00018	-0.00048	0.00043	0.360
8031	0.00	-0.00018	-0.00026	0.00034	-0.00029	-0.00018	-0.00041	0.00044	0.360
8041	0.00	-0.00016	-0.00023	0.00030	-0.00025	-0.00016	-0.00036	0.00039	0.360
8051	0.00	-0.00021	-0.00021	0.00035	-0.00024	-0.00021	-0.00037	0.00035	0.360
8061	0.00	-0.00016	-0.00030	0.00034	-0.00032	-0.00016	-0.00044	0.00044	0.360
8071	0.00	-0.00025	-0.00020	0.00038	-0.00022	-0.00025	-0.00037	0.00045	0.360
8081	0.00	-0.00053	-0.00016	0.00069	-0.00021	-0.00053	-0.00049	0.00039	0.360
8091	0.00	-0.00015	-0.00031	0.00033	-0.00034	-0.00015	-0.00045	0.00045	0.360
8101	0.00	-0.00020	-0.00021	0.00041	-0.00005	-0.00020	-0.00036	0.00045	0.360
8111	0.00	-0.00023	-0.00020	0.00036	-0.00022	-0.00023	-0.00036	0.00032	0.360
8121	0.00	-0.00019	-0.00023	0.00034	-0.00025	-0.00019	-0.00038	0.00042	0.360
8131	0.00	-0.00016	-0.00023	0.00030	-0.00025	-0.00016	-0.00036	0.00035	0.360
8141	0.00	-0.00016	-0.00023	0.00030	-0.00025	-0.00016	-0.00036	0.00042	0.360
8151	0.00	-0.00018	-0.00026	0.00034	-0.00029	-0.00018	-0.00041	0.00042	0.360
8161	0.00	-0.00025	-0.00023	0.00040	-0.00026	-0.00025	-0.00041	0.00043	0.360
8171	0.00	-0.00019	-0.00021	0.00033	-0.00024	-0.00019	-0.00036	0.00040	0.360
8181	0.00	-0.00018	-0.00021	0.00031	-0.00023	-0.00018	-0.00035	0.00043	0.360
8191	0.00	-0.00013	-0.00023	0.00026	-0.00025	-0.00013	-0.00034	0.00045	0.360
8201	0.00	-0.00019	-0.00025	0.00035	-0.00027	-0.00019	-0.00040	0.00043	0.360
8211	0.00	-0.00023	-0.00026	0.00040	-0.00029	-0.00023	-0.00044	0.00052	0.314
8221	0.00	-0.00023	-0.00031	0.00042	-0.00034	-0.00023	-0.00049	0.00048	0.360
8231	0.00	-0.00013	-0.00030	0.00030	-0.00032	-0.00013	-0.00042	0.00041	0.360
8241	0.00	-0.00016	-0.00023	0.00030	-0.00025	-0.00016	-0.00036	0.00036	0.360
8251	0.00	-0.00018	-0.00023	0.00032	-0.00025	-0.00018	-0.00037	0.00057	0.360
8261	0.00	-0.00055	-0.00025	0.00076	-0.00030	-0.00055	-0.00060	0.00043	0.360
8271	0.00	-0.00013	-0.00023	0.00026	-0.00025	-0.00013	-0.00034	0.00043	0.360
8281	0.00	-0.00020	-0.00026	0.00036	-0.00029	-0.00020	-0.00042	0.00042	0.360
8291	0.00	-0.00009	-0.00020	0.00021	-0.00021	-0.00009	-0.00028	0.00032	0.360
8301	0.00	-0.00023	-0.00021	0.00037	-0.00024	-0.00023	-0.00038	0.00036	0.360
8311	0.00	-0.00011	-0.00023	0.00024	-0.00025	-0.00011	-0.00033	0.00035	0.360
8321	0.00	-0.00011	-0.00018	0.00022	-0.00019	-0.00011	-0.00027	0.00033	0.360
8331	0.00	-0.00013	-0.00023	0.00026	-0.00025	-0.00013	-0.00034	0.00028	0.360
8341	0.00	-0.00016	-0.00018	0.00028	-0.00020	-0.00016	-0.00030	0.00044	0.360
8351	0.00	-0.00023	-0.00016	0.00035	-0.00019	-0.00023	-0.00032	0.00044	0.360
8361	0.00	-0.00020	-0.00020	0.00032	-0.00022	-0.00020	-0.00034	0.00040	0.360
8371	0.00	-0.00016	-0.00025	0.00031	-0.00027	-0.00016	-0.00038	0.00045	0.360
8381	0.00	-0.00023	-0.00026	0.00040	-0.00029	-0.00023	-0.00044	0.00040	0.360
8391	0.00	-0.00013	-0.00030	0.00030	-0.00032	-0.00013	-0.00042	0.00052	0.360
8401	0.00	-0.00016	-0.00026	0.00032	-0.00029	-0.00016	-0.00040	0.00037	0.360
8411	0.00	-0.00016	-0.00025	0.00031	-0.00027	-0.00016	-0.00038	0.00044	0.360
8421	0.00	-0.00016	-0.00025	0.00031	-0.00027	-0.00016	-0.00038	0.00043	0.360
8431	0.00	-0.00020	-0.00016	0.00031	-0.00018	-0.00020	-0.00030	0.00044	0.360
8441	0.00	-0.00016	-0.00030	0.00034	-0.00032	-0.00016	-0.00044	0.00048	0.360
8451	0.00	-0.00023	-0.00025	0.00039	-0.00027	-0.00023	-0.00042	0.00041	0.360
8461	0.00	-0.00023	-0.00025	0.00039	-0.00027	-0.00023	-0.00042	0.00042	0.360
8471	0.00	-0.00023	-0.00023	0.00038	-0.00026	-0.00023	-0.00040	0.00041	0.360
8481	0.00	-0.00016	-0.00023	0.00030	-0.00025	-0.00016	-0.00036	0.00042	0.360
8491	0.00	-0.00016	-0.00030	0.00034	-0.00032	-0.00016	-0.00043	0.00045	0.360
8501	0.00	-0.00018	-0.00020	0.00030	-0.00022	-0.00018	-0.00033	0.00034	0.360
8511	0.00	-0.00021	-0.00020	0.00034	-0.00022	-0.00021	-0.00035	0.00044	0.360
8521	0.00	-0.00011	-0.00025	0.00025	-0.00026	-0.00011	-0.00035	0.00041	0.360
8531	0.00	-0.00025	-0.00016	0.00036	-0.00019	-0.00025	-0.00033	0.00035	0.360
8541	0.00	-0.00023	-0.00023	0.00038	-0.00026	-0.00023	-0.00040	0.00045	0.360
8551	0.00	-0.00020	-0.00025	0.00035	-0.00027	-0.00020	-0.00040	0.00057	0.360
8561	0.00	-0.00018	-0.00026	0.00034	-0.00029	-0.00018	-0.00041	0.00039	0.360
8571	0.00	-0.00025	-0.00030	0.00043	-0.00033	-0.00025	-0.00048	0.00039	0.360
8581	0.00	-0.00013	-0.00025	0.00027	-0.00027	-0.00013	-0.00036	0.00046	0.360
8591	0.00	-0.00020	-0.00025	0.00035	-0.00027	-0.00020	-0.00040	0.00042	0.360
8601	0.00	-0.00043	-0.00025	0.00062	-0.00029	-0.00043	-0.00053	0.00041	0.360
8611	0.00	-0.00023	-0.00023	0.00038	-0.00026	-0.00023	-0.00040	0.00040	0.360
8621	0.00	-0.00016	-0.00020	0.00029	-0.00022	-0.00016	-0.00032	0.00055	0.360
8631	0.00	-0.00020	-0.00018	0.00032	-0.00020	-0.00020	-0.00032	0.00040	0.360
8641	0.00	-0.00016	-0.00025	0.00031	-0.00027	-0.00016	-0.00038	0.00045	0.360
8651	0.00	-0.00018	-0.00018	0.00030	-0.00020	-0.00018	-0.00031	0.00042	0.360
8661	0.00	-0.00011	-0.00023	0.00024	-0.00025	-0.00011	-0.00033	0.00038	0.360
8671	0.00	-0.00016	-0.00025	0.00031	-0.00027	-0.00016	-0.00038	0.00041	0.360
8681	0.00	-0.00013	-0.00023	0.00026	-0.00025	-0.00013	-0.00034	0.00035	0.360
8691	0.00	-0.00016	-0.00026	0.00032	-0.00029	-0.00016	-0.00040	0.00040	0.360
8701	0.00	-0.00018	-0.00020	0.00030	-0.00022	-0.00018	-0.00033	0.00042	0.360
8711	0.00	-0.00016	-0.00021	0.00029	-0.00023	-0.00016	-0.00034	0.00040	0.360
8721	0.00	-0.00013	-0.00020	0.00025	-0.00021	-0.00013	-0.00030	0.00044	0.360
8731	0.00	-0.00016	-0.00020	0.00029	-0.00022	-0.00016	-0.00032	0.00044	0.360
8741	0.00	-0.00023	-0.00023	0.00038	-0.00026	-0.00023	-0.00040	0.00046	0.360
