0	0	-0.00054	0.00051	0.00028	-0.00054	-0.00054	0.00028	0.00023	2.637
0	0.00	-0.00000	0.00019	-0.00009	0.00020	-0.00000	0.00022	0.00045	2.638
7379	0.00	-0.00003	-0.00008	0.00007	-0.00009	-0.00003	-0.00011	0.00003	2.642
7389	0.00	-0.00022	-0.00003	0.00026	-0.00007	-0.00022	-0.00016	0.00024	2.642
7399	0.00	-0.00015	-0.00004	0.00019	-0.00007	-0.00015	-0.00014	0.00035	2.642
7409	0.00	-0.00015	-0.00021	0.00026	-0.00025	-0.00015	-0.00033	0.00044	2.642
7419	0.00	-0.00002	-0.00028	0.00014	-0.00030	-0.00002	-0.00033	0.00026	2.642
7429	0.00	-0.00022	-0.00008	0.00028	-0.00012	-0.00022	-0.00021	0.00014	2.642
7439	0.00	-0.00054	-0.00016	0.00068	-0.00027	-0.00054	-0.00049	0.00039	2.642
7449	0.00	0.00003	-0.00014	0.00002	-0.00015	0.00003	-0.00015	0.00035	2.642
7459	0.00	-0.00017	-0.00024	0.00029	-0.00029	-0.00017	-0.00038	0.00045	2.642
7469	0.00	-0.00000	-0.00029	0.00012	-0.00032	-0.00000	-0.00034	0.00021	2.642
7479	0.00	-0.00000	-0.00001	0.00000	-0.00001	-0.00000	-0.00001	0.00001	2.642
7489	0.00	-0.00017	-0.00013	0.00024	-0.00017	-0.00017	-0.00024	0.00026	2.642
7499	0.00	-0.00017	-0.00011	0.00024	-0.00015	-0.00017	-0.00022	0.00091	2.642
7509	0.00	-0.00015	-0.00018	0.00025	-0.00022	-0.00015	-0.00029	0.00037	2.642
7519	0.00	0.00002	-0.00023	0.00008	-0.00024	0.00002	-0.00025	0.00037	2.642
7529	0.00	-0.00017	-0.00001	0.00020	-0.00004	-0.00017	-0.00011	0.00025	2.642
7539	0.00	-0.00024	-0.00004	0.00029	-0.00009	-0.00024	-0.00018	0.00035	2.642
7549	0.00	-0.00018	-0.00018	0.00028	-0.00022	-0.00018	-0.00031	0.00045	2.642
7559	0.00	-0.00025	-0.00028	0.00040	-0.00034	-0.00025	-0.00047	0.00037	2.642
7569	0.00	-0.00010	-0.00028	0.00023	-0.00032	-0.00010	-0.00038	0.00039	2.642
7579	0.00	0.00002	-0.00021	0.00007	-0.00022	0.00002	-0.00023	0.00029	2.642
7589	0.00	-0.00020	-0.00009	0.00027	-0.00014	-0.00020	-0.00022	0.00021	2.642
7599	0.00	-0.00017	-0.00009	0.00023	-0.00013	-0.00017	-0.00020	0.00034	2.642
